,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
66,68.5978012085,51.1955070496,43.0351524353,42.3743400574,63.0138549805,61.3919525146,51.4619026184,53.2419509888,44.0677871704,33.9720611572,26.3652057648,23.2785987854,39.8930053711,38.4612464905,34.4022483826,25.9839687347,34.8484382629,36.2801933289,34.2591667175,32.1741294861
67,63.355556488,48.9410324097,60.0242042542,45.2745666504,64.4013748169,63.2764854431,51.5437965393,57.699131012,59.0960578918,46.855052948,38.0282363892,30.99559021,40.1292762756,48.3903541565,41.1139030457,24.4270153046,38.6890487671,35.2682685852,58.2083854675,42.4703559875
68,50.158164978,44.6730575562,72.1908416748,48.5786209106,56.6589622498,59.1045303345,50.8180351257,56.2711372375,71.3332977295,59.1779518127,53.4546890259,43.4643974304,41.5949211121,57.3254241943,50.1534576416,31.5697994232,45.3489303589,37.6168785095,76.5350646973,52.6696243286
69,34.1254997253,42.3536300659,74.546043396,52.7025718689,42.9786720276,52.0464668274,50.0988616943,50.0565032959,73.2780761719,65.9338531494,65.8340682983,57.038318634,45.1634902954,61.6178703308,59.7653388977,45.3950538635,52.8691864014,43.2092971802,82.8974914551,59.4904747009
70,24.653875351,44.0508422852,67.1443939209,57.6586532593,31.6036872864,45.1785507202,49.5557174683,43.2017669678,64.7844924927,66.5795974731,70.4428024292,68.1760864258,51.0345420837,60.8478660583,66.6925582886,60.1710510254,59.4584693909,49.615020752,75.2096786499,61.7232971191
71,27.5437469482,49.6131362915,53.902759552,60.9947128296,29.2861423492,39.8497047424,48.9993934631,40.0323219299,50.7954444885,61.7242393494,66.5645370483,71.5432128906,56.7192077637,57.1371574402,67.6122360229,69.9674301147,62.3935241699,55.304397583,57.755607605,59.6071968079
72,39.5710716248,56.5742454529,38.7643547058,58.7035255432,36.7772140503,36.3131408691,46.5717124939,40.6046485901,37.2346992493,53.4462165833,56.2080688477,65.1148986816,59.1817169189,50.9611167908,60.8619842529,71.6439361572,59.8961830139,59.4264640808,38.8189506531,53.7719154358
73,53.1365203857,60.1879959106,25.9896183014,49.628200531,48.6802825928,36.2434844971,42.0100479126,44.0216598511,28.3391666412,43.1189308167,44.2701721191,52.5246582031,58.2403907776,43.2281227112,48.6906394958,65.236328125,52.7138671875,60.7622032166,25.8135890961,46.852230072
74,60.6821937561,57.3414268494,19.5067043304,37.1292724609,58.6931686401,40.4088516235,38.5149040222,48.8506622314,25.2186717987,31.2779884338,35.5817298889,39.6360206604,54.2482261658,36.614364624,36.8760528564,53.8933486938,44.2673454285,57.9645843506,22.8540592194,42.1540679932
75,59.2231369019,48.8506622314,21.9710960388,28.1669044495,62.8792457581,47.4094924927,39.3413887024,51.6143989563,27.9645195007,22.164068222,32.231552124,32.4546470642,48.0834846497,33.9042892456,30.7715549469,41.7860107422,39.4025726318,51.3075256348,29.6683197021,41.4885520935
76,53.3454971313,38.9987449646,33.6680145264,28.6563949585,60.4967498779,55.3363990784,45.4025878906,51.6915855408,36.671787262,22.0915851593,34.8013725281,33.1371078491,42.7066268921,37.1245651245,31.7100563049,32.2729682922,40.4144973755,43.729850769,42.9786720276,43.8352775574
77,48.3988265991,33.0034370422,51.5155563354,38.2663917542,54.0957336426,60.4628639221,54.484500885,50.3906745911,49.6197280884,34.2149238586,42.1597175598,38.8726081848,40.2535324097,44.7530708313,38.5036087036,28.2215023041,44.7897834778,38.9846229553,58.1782646179,46.7430343628
78,46.4314575195,33.1399307251,69.2783813477,51.8930282593,46.3749771118,59.998790741,60.8346862793,48.0477142334,63.4365119934,54.7490119934,51.6868782043,46.7223243713,41.4631347656,52.6668014526,48.2933998108,30.5936431885,48.4411888123,39.4364624023,69.4525299072,48.8101882935
79,47.125213623,38.4264183044,80.059387207,62.206199646,39.4298706055,54.8243179321,60.4289741516,46.1660003662,72.9862670898,73.2761917114,59.303150177,54.2783508301,45.4609489441,58.2620429993,56.6071929932,38.4123001099,49.2215461731,44.1092033386,71.9442214966,49.5604248047
80,47.9338111877,46.8239898682,79.4315261841,64.9737014771,35.6560935974,47.0348472595,54.2971763611,45.5654373169,73.5745925903,80.2241210938,60.7414970398,59.5770759583,49.4248733521,60.547580719,60.4685096741,48.5146102905,47.7766113281,49.5321846008,64.0173110962,48.6445121765
81,47.4735031128,55.5133705139,67.4559783936,61.6348152161,35.8726005554,40.1311607361,45.6454467773,45.5626106262,64.1688613892,72.8798980713,56.1901817322,60.9692955017,51.3818893433,59.2541999817,59.2523193359,58.0916633606,46.0539855957,52.3862838745,49.0031585693,46.9171791077
